gregobase_id	Hudelmaier code	NR02 source letter	NR02 source page
15346	H2F6N2R1	HPS / H	29
15347	H2F6N2R2	HPS / H	74+117
15348	H2F6N2R3	HPS / H	86
15340	H2F6N3A1	HPS / H	151
15341	H2F6N3A2	HPS / H	264
15342	H2F6N3A3	HPS	
15349	H2F6N3R1	HPS / H	89
15350	H2F6N3R2	HPS	
15351	H4F2R1	H	396
15352	H4F3R1	H	396
15353	H4F3R2	H	397
15355	08H1N1R1	H	398
15356	08H1N1R2	H	399
15357	08H1N1R3	H	398
15358	08H1N2R1	H	399
15359	08H1N2R2	H	399
15360	08H1N2R3	H	400
15361	08H1N3R1	H	399
15362	08H1F2R1	H	400
15363	08H1F2R2	H	400
15364	08H1F2R3	H	400
15365	08H1F3R1	H	400
15369	09H1N1R1	H	402
15371	09H1N1R2	H	402
15370	09H1N1R3	H	403
15372	09H1N2R1	H	403
15373	09H1N2R2	H	404
15374	09H1N2R3	H	404
15375	09H1N3R1	H	404
15376	09H1F2R1	H	405
15377	09H1F2R2	H	403
15378	09H3N1R1	H	407
15379	09H3N1R2	H	407
15380	09H3N1R3	H	408
15381	09H3N2R1	H	408
15382	09H3N2R2	H	408
15384	09H3N2R3	H	408
15383	09H3N3R1	H	409
15385	09H4N1R1	H	409
15386	09H4N1R3	H	409
15387	09H4N2R1	H	410
15388	09H4N2R2	H	410
15389	09H4N2R3	H	410
15390	09H4N3R1	H	411
15391	09H5N1R1	H	411
15392	09H5N1R3	H	412
15393	09H5N2R1	H	412
15402	10H1N1R1	H	413
15403	10H1N1R2	H	414
15404	10H1N1R3	H	414
15405	10H1N2R1	H	413
15406	10H1N2R2	H	415
15407	10H1N2R3	H	413
15408	10H1N3R1	H	413
15410	10H1F2R1	H	414
15411	10H1F2R2	H	413
15412	10H1F2R3	H	414
15413	10H1F3R1	H	414
15414	10H1F3R2	H	415
15415	10H1F3R3	H	415
15417	11H1N1R2	H	416
15418	11H1N1R3	H	416
15420	11H1N2R1	H	417
15422	11H1N2R2	H	417
15423	11H1N2R3	H	417
15424	11H1N3R1	H	418
15457	11H1F2R1	H	418
15458	11H1F2R2	H	417
15459	11H1F2R3	H	417
15460	11H1F3R1	H	418
15461	11H1F3R2	H	419
15462	11H1F3R3	H	418
15463	11H1F4R1	H	418
17120	1130N1A1	H	355
17121	1130N1A2	H	355
17122	1130N1A3	H	355
17112	1130N1R1	H	355
17113	1130N1R2	H	356
17114	1130N1R3	H	357
17123	1130N2A1	H	356
17124	1130N2A2	H	357
17125	1130N2A3	H	356
17115	1130N2R1	H	356
17116	1130N2R2	H	358
17117	1130N2R3	H	357
17126	1130N3A1	H	356
17127	1130N3A2	Bud122	4v
17128	1130N3A3	Lc	500
17118	1130N3R1	Lc	501
17119	1130N3R2	Lc	502
17129	1208I	LR / K	259 / 138r
17130	1208H	AR	[122]
11363	1208N1A1	LR	260
11364	1208N1A2	LR	260
11365	1208N1A3	LR	261
11366	1208N1R1	LR	261
11367	1208N1R2	LR	263
11368	1208N1R3	LR	263
11369	1208N2A1	LR	261
11370	1208N2A2	LR	261
11371	1208N2A3	LR	261
11372	1208N2R1	LR	266
11373	1208N2R2	LR	267
11374	1208N2R3	LR	268
11375	1208N3A1	LR	265
11376	1208N3A2	LR	266
11377	1208N3A3	LR	266
11378	1208N3R1	LR	270
11379	1208N3R2	LR	270
17132	1213N2R1	H	26
17133	1213N2R2	H	26
17134	1213N2R3	H	26
17135	0118I	Lc	412
17136	0118H	LH	351
17137	0118N1R1	H	280
17138	0118N1R2	H	280
17139	0118N1R3	H	280
17140	0118N2R1	H	282
17141	0118N2R2	H	282
17142	0118N2R3	H	282
17143	0118N3R1	H	282
17144	0118N3R2	H	379
17148	0121N1A1	H	110
17149	0121N1A2	H	110
17150	0121N1A3	H	111
17157	0121N1R1	H	111
17158	0121N1R2	H	111
17159	0121N1R3	H	111
17151	0121N2A1	H	111
17152	0121N2A2	H	111
17153	0121N2A3	H	111
17160	0121N2R1	H	113
17161	0121N2R2	H	114
17162	0121N2R3	H	113
17154	0121N3A1	H	112
17155	0121N3A2	H	112
17156	0121N3A3	H	112
17163	0121N3R1	H	113
17164	0121N3R2	H	112
17184	0125I	Lc / K	339 / 138r
17185	0125H	AR	607
17189	0125N1A1	H	284
17190	0125N1A2	H	284
17191	0125N1A3	H	284
17199	0125N1R1	H	285
17200	0125N1R2	H	285
17201	0125N1R3	H	286
17192	0125N2A1	H	284
17193	0125N2A2	H	285
17194	0125N2A3	H	285
17202	0125N2R1	Lc	429
17203	0125N2R2	H	288
17204	0125N2R3	Bud122	118v
17196	0125N3A1	H	286
17197	0125N3A2	H	286
17198	0125N3A3	H	286
17205	0125N3R1	H	287
17206	0125N3R2	Lc	424
17147	0130H	AR	614
17598	0202I	H	115
16970	0202N1R1	H	116
17251	0202N1R2	H	118
17252	0202N1R3	Bud122	231
17253	0202N2R1	H	116
17254	0202N2R2	H	116
17255	0202N2R3	H	119
17256	0202N3R1	H	117
17257	0202N3R2	H	116
17280	0205N1A1	H	121
17281	0205N1A2	H	121
17282	0205N1A3	H	121
17273	0205N1R1	H	121
17274	0205N1R2	H	123
17275	0205N1R3	H	122
17283	0205N2A1	H	121
17284	0205N2A2	H	121
17285	0205N2A3	H	121
17276	0205N2R1	H	123
17277	0205N2R2	H	122
17278	0205N2R3	H	121
17286	0205N3A1	H	122
17287	0205N3A2	H	122
17288	0205N3A3	H	122
9722	0205N3R1	H	123
17279	0205N3R2	Sar	408
17129	0211I		
17297	0211H	AR	[122]
	0211N1A1	HPS	
17298	0211N1A2	H	21
